$ go test -race ./internal/tui/... ./internal/helpchat -count=1
ok  	jig/internal/tui	2.582s
ok  	jig/internal/tui/chart	1.170s
ok  	jig/internal/tui/chat	1.142s
ok  	jig/internal/tui/detail	1.148s
ok  	jig/internal/tui/diffview	1.122s
ok  	jig/internal/tui/monitor	4.400s
ok  	jig/internal/tui/palette	1.112s
ok  	jig/internal/tui/prefs	1.009s
ok  	jig/internal/tui/question	1.126s
ok  	jig/internal/tui/review	1.658s
ok  	jig/internal/tui/runs	1.161s
ok  	jig/internal/tui/selector	1.138s
ok  	jig/internal/tui/shared	1.260s
ok  	jig/internal/helpchat	1.106s
exit=0
